Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add_Edit_ProductScenarios,Chrome 65.0.3325.181,,2018-04-17 15:11:31,2018-04-17 15:13:32,2m - 0.722s,FAILED
,,,,,,
Test Cases/ProductAdd_TestCases/VerifyProductAddPageLoads,Chrome 65.0.3325.181,,2018-04-17 15:11:32,2018-04-17 15:11:49,17.222s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-17 15:11:32,2018-04-17 15:11:35,2.831s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-17 15:11:35,2018-04-17 15:11:42,6.520s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-04-17 15:11:42,2018-04-17 15:11:42,0.216s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-17 15:11:42,2018-04-17 15:11:43,1.052s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-17 15:11:43,2018-04-17 15:11:44,0.842s,PASSED
click,Chrome 65.0.3325.181,,2018-04-17 15:11:44,2018-04-17 15:11:44,0.273s,PASSED
verifyElementAttributeValue,Chrome 65.0.3325.181,,2018-04-17 15:11:44,2018-04-17 15:11:44,0.185s,PASSED
Statement - productAddTabVisible = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementVisible(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Dashboard/a_Product)),Chrome 65.0.3325.181,,2018-04-17 15:11:44,2018-04-17 15:11:44,0.117s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-17 15:11:44,2018-04-17 15:11:46,2.056s,PASSED
Statement - If (productAddTabVisible),Chrome 65.0.3325.181,,2018-04-17 15:11:46,2018-04-17 15:11:47,0.485s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-17 15:11:47,2018-04-17 15:11:49,2.006s,PASSED
verifyElementText,Chrome 65.0.3325.181,,2018-04-17 15:11:49,2018-04-17 15:11:49,0.148s,PASSED
,,,,,,
Test Cases/ProductAdd_TestCases/VerifyAdditionOfSuccessfulProduct,Chrome 65.0.3325.181,,2018-04-17 15:11:49,2018-04-17 15:12:12,23.377s,PASSED
selectOptionByLabel,Chrome 65.0.3325.181,,2018-04-17 15:11:49,2018-04-17 15:11:50,0.393s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-17 15:11:50,2018-04-17 15:11:51,1.468s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-17 15:11:51,2018-04-17 15:11:53,2.104s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-17 15:11:53,2018-04-17 15:11:54,0.365s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-17 15:11:54,2018-04-17 15:11:55,1.616s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-17 15:11:55,2018-04-17 15:11:57,1.609s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-17 15:11:57,2018-04-17 15:11:57,0.536s,PASSED
scrollToElement,Chrome 65.0.3325.181,,2018-04-17 15:11:57,2018-04-17 15:11:58,0.132s,PASSED
click,Chrome 65.0.3325.181,,2018-04-17 15:11:58,2018-04-17 15:11:58,0.220s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI productAdd/Error_Messages/small_Invalid Email Id), 0))",Chrome 65.0.3325.181,,2018-04-17 15:11:58,2018-04-17 15:11:58,0.225s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-17 15:11:58,2018-04-17 15:12:01,3.004s,PASSED
