Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DependsOn_Blocks_Scenarios,Chrome 66.0.3359.181,,2018-05-29 11:38:54,2018-05-29 11:40:07,1m - 13.641s,PASSED
,,,,,,
Test Cases/Depends_Blocks_TestCases/Verify whether user can open Depends on and Blocks section,Chrome 66.0.3359.181,,2018-05-29 11:38:54,2018-05-29 11:39:16,22.145s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-29 11:38:55,2018-05-29 11:38:57,2.784s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-29 11:38:57,2018-05-29 11:39:03,5.741s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-29 11:39:03,2018-05-29 11:39:03,0.208s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-29 11:39:03,2018-05-29 11:39:04,1.088s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-29 11:39:04,2018-05-29 11:39:05,0.816s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:39:05,2018-05-29 11:39:06,0.277s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-29 11:39:06,2018-05-29 11:39:06,0.617s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:39:06,2018-05-29 11:39:07,1.060s,PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-29 11:39:07,2018-05-29 11:39:08,0.294s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:39:08,2018-05-29 11:39:11,3.006s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI_Depends_Blocks/a_Depends and Blocks), 1))",Chrome 66.0.3359.181,,2018-05-29 11:39:11,2018-05-29 11:39:11,0.374s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:39:11,2018-05-29 11:39:13,2.005s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI_Depends_Blocks/h3_Bug blocks), 1))",Chrome 66.0.3359.181,,2018-05-29 11:39:13,2018-05-29 11:39:13,0.220s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI_Depends_Blocks/h3_Bug depends on), 1))",Chrome 66.0.3359.181,,2018-05-29 11:39:13,2018-05-29 11:39:13,0.197s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:39:13,2018-05-29 11:39:16,3.005s,PASSED
,,,,,,
Test Cases/Depends_Blocks_TestCases/Verify_fields_in_DependsOn_and_Blocks_section,Chrome 66.0.3359.181,,2018-05-29 11:39:16,2018-05-29 11:39:20,3.367s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:39:17,2018-05-29 11:39:19,2.004s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-29 11:39:19,2018-05-29 11:39:19,0.107s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-29 11:39:19,2018-05-29 11:39:19,0.057s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-29 11:39:19,2018-05-29 11:39:19,0.071s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-29 11:39:19,2018-05-29 11:39:19,0.050s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-29 11:39:19,2018-05-29 11:39:19,0.073s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-29 11:39:19,2018-05-29 11:39:19,0.049s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-29 11:39:19,2018-05-29 11:39:19,0.070s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-29 11:39:19,2018-05-29 11:39:19,0.056s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-29 11:39:19,2018-05-29 11:39:19,0.080s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-29 11:39:19,2018-05-29 11:39:19,0.073s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-29 11:39:19,2018-05-29 11:39:19,0.077s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-29 11:39:19,2018-05-29 11:39:19,0.079s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-29 11:39:19,2018-05-29 11:39:20,0.078s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-29 11:39:20,2018-05-29 11:39:20,0.065s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-29 11:39:20,2018-05-29 11:39:20,0.076s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-29 11:39:20,2018-05-29 11:39:20,0.048s,PASSED
,,,,,,
