Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginScenarios,Chrome 65.0.3325.181,,2018-04-20 11:18:49,2018-04-20 11:19:26,36.466s,PASSED
,,,,,,
Test Cases/Login_TestCases/VerifyPresenceOfFields_Links_LoginPage,Chrome 65.0.3325.181,"TC001-Verify whether user Id and Password fields appear\nTC002- Verify the presence of Register, Forgot password and Change password link in Login page.",2018-04-20 11:18:50,2018-04-20 11:19:00,9.744s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-20 11:18:51,2018-04-20 11:18:54,3.336s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-20 11:18:54,2018-04-20 11:18:59,4.384s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-20 11:18:59,2018-04-20 11:18:59,0.721s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-20 11:18:59,2018-04-20 11:19:00,0.059s,PASSED
verifyElementText,Chrome 65.0.3325.181,,2018-04-20 11:19:00,2018-04-20 11:19:00,0.154s,PASSED
verifyElementText,Chrome 65.0.3325.181,,2018-04-20 11:19:00,2018-04-20 11:19:00,0.123s,PASSED
"Statement - loginButtonPresent = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI login/button_Login), 0)",Chrome 65.0.3325.181,,2018-04-20 11:19:00,2018-04-20 11:19:00,0.067s,PASSED
Statement - If (loginButtonPresent),Chrome 65.0.3325.181,,2018-04-20 11:19:00,2018-04-20 11:19:00,0.140s,PASSED
,,,,,,
Test Cases/Login_TestCases/InvalidLoginsCases,Chrome 65.0.3325.181,TC004- Verify whether user is able to login with only user ID\nTC005 - Verify whether user is able to login with only Password\nTC006 - Verify whether user is able to login by giving wrong credentials,2018-04-20 11:19:00,2018-04-20 11:19:08,7.667s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-20 11:19:00,2018-04-20 11:19:01,0.927s,PASSED
Statement - loginButtonClickable = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementClickable(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI login/button_Login)),Chrome 65.0.3325.181,,2018-04-20 11:19:01,2018-04-20 11:19:01,0.120s,PASSED
Statement - If (loginButtonClickable),Chrome 65.0.3325.181,,2018-04-20 11:19:01,2018-04-20 11:19:02,0.269s,PASSED
verifyElementText,Chrome 65.0.3325.181,,2018-04-20 11:19:02,2018-04-20 11:19:02,0.131s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-20 11:19:02,2018-04-20 11:19:02,0.440s,PASSED
"Statement - com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI login/input_value_userid), 2).clear()",Chrome 65.0.3325.181,,2018-04-20 11:19:02,2018-04-20 11:19:02,0.121s,PASSED
click,Chrome 65.0.3325.181,,2018-04-20 11:19:02,2018-04-20 11:19:02,0.221s,PASSED
verifyElementText,Chrome 65.0.3325.181,,2018-04-20 11:19:02,2018-04-20 11:19:03,0.108s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-20 11:19:03,2018-04-20 11:19:03,0.885s,PASSED
click,Chrome 65.0.3325.181,,2018-04-20 11:19:03,2018-04-20 11:19:04,0.246s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-20 11:19:04,2018-04-20 11:19:07,3.034s,PASSED
