Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionTestSuite,Chrome 67.0.3396.87,,2018-06-20 12:01:42,2018-06-20 12:09:29,7m - 47.124s,PASSED
,,,,,,
Test Cases/Login_TestCases/VerifyPresenceOfFields_Links_LoginPage,Chrome 67.0.3396.87,"TC001-Verify whether user Id and Password fields appear\nTC002- Verify the presence of Register, Forgot password and Change password link in Login page.",2018-06-20 12:01:43,2018-06-20 12:01:52,9.651s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-20 12:01:43,2018-06-20 12:01:46,3.179s,PASSED
navigateToUrl,Chrome 67.0.3396.87,,2018-06-20 12:01:46,2018-06-20 12:01:51,4.778s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,,2018-06-20 12:01:51,2018-06-20 12:01:52,0.655s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,,2018-06-20 12:01:52,2018-06-20 12:01:52,0.080s,PASSED
verifyElementText,Chrome 67.0.3396.87,,2018-06-20 12:01:52,2018-06-20 12:01:52,0.166s,PASSED
verifyElementText,Chrome 67.0.3396.87,,2018-06-20 12:01:52,2018-06-20 12:01:52,0.144s,PASSED
"Statement - loginButtonPresent = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI login/button_Login), 0)",Chrome 67.0.3396.87,,2018-06-20 12:01:52,2018-06-20 12:01:52,0.072s,PASSED
Statement - If (loginButtonPresent),Chrome 67.0.3396.87,,2018-06-20 12:01:52,2018-06-20 12:01:52,0.126s,PASSED
,,,,,,
Test Cases/Login_TestCases/InvalidLoginsCases,Chrome 67.0.3396.87,TC004- Verify whether user is able to login with only user ID\nTC005 - Verify whether user is able to login with only Password\nTC006 - Verify whether user is able to login by giving wrong credentials,2018-06-20 12:01:52,2018-06-20 12:02:00,7.983s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-20 12:01:53,2018-06-20 12:01:53,0.910s,PASSED
Statement - loginButtonClickable = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementClickable(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI login/button_Login)),Chrome 67.0.3396.87,,2018-06-20 12:01:53,2018-06-20 12:01:54,0.124s,PASSED
Statement - If (loginButtonClickable),Chrome 67.0.3396.87,,2018-06-20 12:01:54,2018-06-20 12:01:54,0.237s,PASSED
verifyElementText,Chrome 67.0.3396.87,,2018-06-20 12:01:54,2018-06-20 12:01:54,0.144s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-20 12:01:54,2018-06-20 12:01:54,0.433s,PASSED
"Statement - com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI login/input_value_userid), 2).clear()",Chrome 67.0.3396.87,,2018-06-20 12:01:54,2018-06-20 12:01:55,0.177s,PASSED
click,Chrome 67.0.3396.87,,2018-06-20 12:01:55,2018-06-20 12:01:55,0.244s,PASSED
verifyElementText,Chrome 67.0.3396.87,,2018-06-20 12:01:55,2018-06-20 12:01:55,0.172s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-20 12:01:55,2018-06-20 12:01:56,0.920s,PASSED
click,Chrome 67.0.3396.87,,2018-06-20 12:01:56,2018-06-20 12:01:56,0.224s,PASSED
delay,Chrome 67.0.3396.87,,2018-06-20 12:01:56,2018-06-20 12:01:59,3.044s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI login/small_Invalid User IdPassword), 0))",Chrome 67.0.3396.87,,2018-06-20 12:01:59,2018-06-20 12:01:59,0.255s,PASSED
closeBrowser,Chrome 67.0.3396.87,,2018-06-20 12:01:59,2018-06-20 12:02:00,0.761s,PASSED
,,,,,,
Test Cases/Login_TestCases/ValidSuccessfulLogin,Chrome 67.0.3396.87,Login into Bugzilla UI,2018-06-20 12:02:00,2018-06-20 12:02:12,12.005s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-20 12:02:00,2018-06-20 12:02:02,1.608s,PASSED
navigateToUrl,Chrome 67.0.3396.87,,2018-06-20 12:02:02,2018-06-20 12:02:09,6.611s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-20 12:02:09,2018-06-20 12:02:10,1.480s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-20 12:02:10,2018-06-20 12:02:11,0.789s,PASSED
click,Chrome 67.0.3396.87,,2018-06-20 12:02:11,2018-06-20 12:02:11,0.289s,PASSED
