Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SearchScenarios,Chrome 66.0.3359.139,,2018-05-16 16:22:45,2018-05-16 16:24:00,1m - 14.656s,FAILED
,,,,,,
Test Cases/Search_TestCases/VerifySearchPageLoads,Chrome 66.0.3359.139,,2018-05-16 16:22:46,2018-05-16 16:23:09,23.500s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-16 16:22:46,2018-05-16 16:22:49,2.857s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-16 16:22:49,2018-05-16 16:22:54,4.853s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-16 16:22:54,2018-05-16 16:22:54,0.209s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-16 16:22:54,2018-05-16 16:22:55,1.042s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-16 16:22:55,2018-05-16 16:22:56,0.831s,PASSED
click,Chrome 66.0.3359.139,,2018-05-16 16:22:56,2018-05-16 16:22:56,0.305s,PASSED
verifyElementAttributeValue,Chrome 66.0.3359.139,,2018-05-16 16:22:56,2018-05-16 16:22:57,0.187s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-16 16:22:57,2018-05-16 16:22:59,2.055s,PASSED
Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementVisible(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Dashboard/a_Search))),Chrome 66.0.3359.139,,2018-05-16 16:22:59,2018-05-16 16:22:59,0.478s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-16 16:22:59,2018-05-16 16:23:04,5.001s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-16 16:23:04,2018-05-16 16:23:04,0.143s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-16 16:23:04,2018-05-16 16:23:09,5.002s,PASSED
,,,,,,
Test Cases/Search_TestCases/Search_With_PackageOnly,Chrome 66.0.3359.139,,2018-05-16 16:23:09,2018-05-16 16:23:26,16.278s,FAILED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Search/button_Package), 0))",Chrome 66.0.3359.139,,2018-05-16 16:23:10,2018-05-16 16:23:13,3.876s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-16 16:23:13,2018-05-16 16:23:19,6.003s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Search/input_form-control searchField), 5))",Chrome 66.0.3359.139,,2018-05-16 16:23:19,2018-05-16 16:23:21,1.766s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-16 16:23:21,2018-05-16 16:23:25,4.002s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Search/button_Search), 0))",Chrome 66.0.3359.139,,2018-05-16 16:23:25,2018-05-16 16:23:26,0.345s,FAILED
,,,,,,
Test Cases/Search_TestCases/Verify_searchResult_bugId_clickable,Chrome 66.0.3359.139,Verify whether search result bugs is clickable and on click is navigated to its bug id page,2018-05-16 16:23:26,2018-05-16 16:23:59,33.592s,FAILED
Statement - idNumber = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 66.0.3359.139,,2018-05-16 16:23:26,2018-05-16 16:23:26,0.000s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Search/searchResult_1st_ID), 0))",Chrome 66.0.3359.139,,2018-05-16 16:23:26,2018-05-16 16:23:59,33.323s,FAILED
