Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeTestSuite,Chrome 67.0.3396.87,,2018-06-20 12:12:00,2018-06-20 12:16:29,4m - 28.973s,PASSED
,,,,,,
Test Cases/Login_TestCases/VerifyPresenceOfFields_Links_LoginPage,Chrome 67.0.3396.87,"TC001-Verify whether user Id and Password fields appear\nTC002- Verify the presence of Register, Forgot password and Change password link in Login page.",2018-06-20 12:12:01,2018-06-20 12:12:10,9.603s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-20 12:12:01,2018-06-20 12:12:04,2.926s,PASSED
navigateToUrl,Chrome 67.0.3396.87,,2018-06-20 12:12:04,2018-06-20 12:12:09,5.036s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,,2018-06-20 12:12:09,2018-06-20 12:12:10,0.668s,PASSED
verifyElementPresent,Chrome 67.0.3396.87,,2018-06-20 12:12:10,2018-06-20 12:12:10,0.120s,PASSED
verifyElementText,Chrome 67.0.3396.87,,2018-06-20 12:12:10,2018-06-20 12:12:10,0.136s,PASSED
verifyElementText,Chrome 67.0.3396.87,,2018-06-20 12:12:10,2018-06-20 12:12:10,0.125s,PASSED
"Statement - loginButtonPresent = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI login/button_Login), 0)",Chrome 67.0.3396.87,,2018-06-20 12:12:10,2018-06-20 12:12:10,0.061s,PASSED
Statement - If (loginButtonPresent),Chrome 67.0.3396.87,,2018-06-20 12:12:10,2018-06-20 12:12:10,0.106s,PASSED
,,,,,,
Test Cases/Login_TestCases/InvalidLoginsCases,Chrome 67.0.3396.87,TC004- Verify whether user is able to login with only user ID\nTC005 - Verify whether user is able to login with only Password\nTC006 - Verify whether user is able to login by giving wrong credentials,2018-06-20 12:12:10,2018-06-20 12:12:18,8.122s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-20 12:12:11,2018-06-20 12:12:12,0.930s,PASSED
Statement - loginButtonClickable = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementClickable(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI login/button_Login)),Chrome 67.0.3396.87,,2018-06-20 12:12:12,2018-06-20 12:12:12,0.097s,PASSED
Statement - If (loginButtonClickable),Chrome 67.0.3396.87,,2018-06-20 12:12:12,2018-06-20 12:12:12,0.266s,PASSED
verifyElementText,Chrome 67.0.3396.87,,2018-06-20 12:12:12,2018-06-20 12:12:12,0.139s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-20 12:12:12,2018-06-20 12:12:12,0.422s,PASSED
"Statement - com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI login/input_value_userid), 2).clear()",Chrome 67.0.3396.87,,2018-06-20 12:12:12,2018-06-20 12:12:13,0.122s,PASSED
click,Chrome 67.0.3396.87,,2018-06-20 12:12:13,2018-06-20 12:12:13,0.218s,PASSED
verifyElementText,Chrome 67.0.3396.87,,2018-06-20 12:12:13,2018-06-20 12:12:13,0.137s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-20 12:12:13,2018-06-20 12:12:14,0.914s,PASSED
click,Chrome 67.0.3396.87,,2018-06-20 12:12:14,2018-06-20 12:12:14,0.248s,PASSED
delay,Chrome 67.0.3396.87,,2018-06-20 12:12:14,2018-06-20 12:12:17,3.051s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI login/small_Invalid User IdPassword), 0))",Chrome 67.0.3396.87,,2018-06-20 12:12:17,2018-06-20 12:12:17,0.220s,PASSED
closeBrowser,Chrome 67.0.3396.87,,2018-06-20 12:12:17,2018-06-20 12:12:18,0.973s,PASSED
,,,,,,
Test Cases/Login_TestCases/ValidSuccessfulLogin,Chrome 67.0.3396.87,Login into Bugzilla UI,2018-06-20 12:12:18,2018-06-20 12:12:28,9.990s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-20 12:12:19,2018-06-20 12:12:21,2.594s,PASSED
navigateToUrl,Chrome 67.0.3396.87,,2018-06-20 12:12:21,2018-06-20 12:12:25,3.691s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-20 12:12:25,2018-06-20 12:12:26,1.430s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-20 12:12:26,2018-06-20 12:12:27,0.780s,PASSED
click,Chrome 67.0.3396.87,,2018-06-20 12:12:27,2018-06-20 12:12:27,0.278s,PASSED
verifyElementAttributeValue,Chrome 67.0.3396.87,,2018-06-20 12:12:27,2018-06-20 12:12:28,0.160s,PASSED
